fips,year,srf_strict_count,srf_strict_amount,srf_incl_count,srf_incl_amount,srf_strict_amount_real,srf_incl_amount_real
2360545,2025,,,2,10000000.0,,7720994.155207424
2404000,2013,1.0,12224000.0,1,12224000.0,12726439.845083911,12726439.845083911
2404000,2015,3.0,19696000.0,3,19696000.0,20086481.194419518,20086481.194419518
2404000,2016,4.0,22905116.0,4,22905116.0,23381395.016485814,23381395.016485814
2404000,2019,4.0,14208433.0,4,14208433.0,13605309.624352455,13605309.624352455
2404000,2021,1.0,1086887.0,7,115675740.0,966053.0806698191,102815568.67067231
2404000,2025,3.0,24556844.0,3,24556844.0,18960324.899434052,18960324.899434052
2507000,2023,,,2,18288692.0,,14795120.254342182
2509000,2020,2.0,2882539.0,2,2882539.0,2710732.757810002,2710732.757810002
2509000,2021,3.0,2571227.0,3,2571227.0,2285372.5957265263,2285372.5957265263
2509000,2023,1.0,1740935.0,1,1740935.0,1408375.3326915454,1408375.3326915454
2509000,2024,1.0,2179948.0,1,2179948.0,1722394.026784656,1722394.026784656
2513660,2020,1.0,915162.0,1,915162.0,860616.148507589,860616.148507589
2513660,2021,3.0,9023906.0,3,9023906.0,8020679.4183524735,8020679.4183524735
2513660,2023,2.0,5117300.0,2,5117300.0,4139774.9427649197,4139774.9427649197
2523000,2020,3.0,3829950.0,3,3829950.0,3601675.788523388,3601675.788523388
2523000,2021,2.0,24217000.0,2,24217000.0,21524691.577487826,21524691.577487826
2523000,2022,1.0,1674132.0,1,1674132.0,1379135.0193590906,1379135.0193590906
2523000,2023,1.0,1400000.0,1,1400000.0,1132566.9630216886,1132566.9630216886
2523000,2025,1.0,1500000.0,1,1500000.0,1158149.1232811138,1158149.1232811138
2529405,2022,2.0,8002656.0,2,8002656.0,6592516.681769503,6592516.681769503
2529405,2024,1.0,2389275.0,1,2389275.0,1887784.9326433057,1887784.9326433057
2534550,2019,1.0,9137974.0,1,9137974.0,8750082.828224795,8750082.828224795
2534550,2020,2.0,4925000.0,2,4925000.0,4631458.180518724,4631458.180518724
2534550,2022,1.0,2168250.0,1,2168250.0,1786185.023478046,1786185.023478046
2534550,2023,1.0,410000.0,1,410000.0,331680.3248849231,331680.3248849231
2534550,2024,1.0,1200000.0,1,1200000.0,948129.4196657843,948129.4196657843
2537490,2020,,,1,11117687.0,,10455046.173522165
2537490,2021,,,1,10216710.0,,9080874.248942299
2537490,2022,,,1,66064278.0,,54423163.35777247
2537490,2023,,,1,21332175.0,,17257226.18171228
2537490,2024,,,2,21284472.0,,16817028.404377196
2545000,2018,2.0,3375900.0,2,3375900.0,3268212.4013747037,3268212.4013747037
2545000,2021,3.0,6054590.0,3,6054590.0,5381475.095104349,5381475.095104349
2545000,2023,9.0,46588989.0,9,46588989.0,37689392.701414905,37689392.701414905
2545000,2024,4.0,7640020.0,4,7640020.0,6036439.774029154,6036439.774029154
2555745,2020,2.0,7282610.0,2,7282610.0,6848548.966503038,6848548.966503038
2555745,2022,3.0,6721598.0,3,6721598.0,5537192.5199769335,5537192.5199769335
2555745,2023,2.0,4308835.0,2,4308835.0,3485745.83579397,3485745.83579397
2555745,2024,2.0,7127778.0,2,7127778.0,5631713.3488721205,5631713.3488721205
2567000,2021,,,2,16198506.0,,14397648.167241441
2567000,2022,,,3,53953036.0,,44446030.15075377
2567000,2023,,,2,15414527.0,,12469988.59343273
2569170,2019,1.0,8794800.0,1,8794800.0,8421475.970239291,8421475.970239291
2569170,2020,2.0,4293481.0,2,4293481.0,4037579.2284978093,4037579.2284978093
2569170,2021,3.0,36184970.0,3,36184970.0,32162130.692928504,32162130.692928504
2569170,2022,3.0,51978204.0,3,51978204.0,42819181.151659936,42819181.151659936
2569170,2023,3.0,5565958.0,3,5565958.0,4502728.67740448,4502728.67740448
2582000,2024,3.0,5524129.0,3,5524129.0,4364657.685774108,4364657.685774108
2603000,2012,1.0,37000000.0,1,37000000.0,39622621.30411968,39622621.30411968
2603000,2013,1.0,73305000.0,1,73305000.0,76318036.06379877,76318036.06379877
2621020,2024,1.0,2487500.0,1,2487500.0,1965393.276182199,1965393.276182199
2629000,2020,1.0,35360000.0,1,35360000.0,33252459.139724277,33252459.139724277
2629000,2021,1.0,37255000.0,1,37255000.0,33113200.839051448,33113200.839051448
2629000,2024,1.0,46745000.0,1,46745000.0,36933591.43523091,36933591.43523091
2634000,2023,1.0,7500000.0,1,7500000.0,6067323.0161876185,6067323.0161876185
2642160,2023,1.0,7445000.0,1,7445000.0,6022829.314068909,6022829.314068909
2646000,2018,1.0,9395000.0,1,9395000.0,9095309.550317053,9095309.550317053
2646000,2023,1.0,19881280.0,1,19881280.0,16083486.364702743,16083486.364702743
2646000,2024,1.0,11595000.0,1,11595000.0,9161300.517520642,9161300.517520642
2646000,2025,1.0,44090000.0,1,44090000.0,34041863.23030954,34041863.23030954
2754880,2024,1.0,73000000.0,1,73000000.0,57677873.02966855,57677873.02966855
2836000,2018,1.0,30000000.0,1,30000000.0,29043032.092550464,29043032.092550464
2836000,2021,1.0,31683000.0,1,31683000.0,28160664.13055072,28160664.13055072
2935000,2024,,,1,3194297.81369236,,2523839.7769465176
2938000,2019,,,1,3324000.0,,3182901.9562781877
2938000,2021,,,2,100050000.0,,88927009.63487041
2938000,2022,,,1,50000.0,,41189.55432902216
2938000,2024,,,2,12938728.152214585,,10222990.678477135
2941348,2024,,,1,2616974.0340930545,,2067691.7268542286
2964550,2017,1.0,66850000.0,1,66850000.0,66850000.0,66850000.0
2964550,2023,1.0,11152000.0,1,11152000.0,9021704.836869908,9021704.836869908
2965000,2023,,,3,297801000.0,,240913981.53915852
2965000,2024,,,3,657935661.0,,519840130.36779517
2970000,2021,1.0,15010000.0,1,15010000.0,13341273.50943933,13341273.50943933
2970000,2023,1.0,6377000.0,1,6377000.0,5158842.516563792,5158842.516563792
2970000,2024,1.0,10001000.0,1,10001000.0,7901868.605064591,7901868.605064591
3032800,2020,1.0,1500000.0,1,1500000.0,1410596.400157987,1410596.400157987
3050200,2021,1.0,397000.0,1,397000.0,352863.7963522594,352863.7963522594
3050200,2023,2.0,4627000.0,2,4627000.0,3743133.812786681,3743133.812786681
3050200,2024,1.0,1327000.0,1,1327000.0,1048473.1165804132,1048473.1165804132
3050200,2025,3.0,3315000.0,3,3315000.0,2559509.562451261,2559509.562451261
3119595,2017,1.0,6473500.0,1,6473500.0,6473500.0,6473500.0
3137000,2017,1.0,15000000.0,1,15000000.0,15000000.0,15000000.0
3137000,2021,1.0,31000000.0,1,31000000.0,27553596.188715473,27553596.188715473
3137000,2022,1.0,24500000.0,1,24500000.0,20182881.621220857,20182881.621220857
3231900,2024,,,1,12400000.0,,9797337.336546438
3251800,2024,1.0,31250000.0,1,31250000.0,24690870.303796466,24690870.303796466
