state_abb,year,gdp_m
HI,2000,41089.4
HI,2001,42500.2
HI,2002,44949.5
HI,2003,48420.7
HI,2004,52625.7
HI,2005,57211.8
HI,2006,60848.0
HI,2007,64106.0
HI,2008,65545.5
HI,2009,64464.3
HI,2010,66739.3
HI,2011,68801.1
HI,2012,71645.6
HI,2013,74598.5
HI,2014,77043.0
HI,2015,81410.2
HI,2016,84287.2
HI,2017,87436.4
HI,2018,90933.5
HI,2019,93240.2
HI,2020,84788.0
HI,2021,93684.2
HI,2022,103954.5
HI,2023,111740.2
HI,2024,117627.4
ID,1997,29699.5
ID,1998,31352.7
ID,1999,34512.8
ID,2000,38344.1
ID,2001,37740.9
ID,2002,38990.7
ID,2003,40778.6
ID,2004,44732.9
ID,2005,48805.1
ID,2006,51099.0
ID,2007,53712.4
ID,2008,56203.6
ID,2009,54507.9
ID,2010,56086.2
ID,2011,57418.2
ID,2012,57933.7
ID,2013,61712.6
ID,2014,64501.7
ID,2015,66064.9
ID,2016,69185.2
ID,2017,72935.1
ID,2018,79072.4
ID,2019,84429.4
ID,2020,88056.8
ID,2021,99884.1
ID,2022,112609.7
ID,2023,120588.1
ID,2024,129018.2
IL,1997,416015.1
IL,1998,436533.4
IL,1999,459971.6
IL,2000,486089.7
IL,2001,499618.4
IL,2002,511485.9
IL,2003,528577.0
IL,2004,560079.8
IL,2005,589153.7
IL,2006,624068.1
IL,2007,649307.4
IL,2008,649677.3
IL,2009,645843.2
IL,2010,663929.0
IL,2011,691805.5
IL,2012,725478.0
IL,2013,742890.9
IL,2014,772291.7
IL,2015,802592.0
IL,2016,813561.6
IL,2017,832826.8
IL,2018,871024.2
IL,2019,895601.8
IL,2020,860807.8
IL,2021,947223.9
IL,2022,1037735.9
IL,2023,1100794.1
IL,2024,1148106.1
IN,1997,170924.6
IN,1998,185336.3
IN,1999,193659.9
IN,2000,204147.3
IN,2001,205325.1
IN,2002,213419.6
IN,2003,225349.3
IN,2004,239278.5
IN,2005,247428.3
IN,2006,259030.3
IN,2007,273340.8
IN,2008,277774.5
IN,2009,264925.0
IN,2010,284685.8
IN,2011,292373.8
IN,2012,301277.4
IN,2013,313466.9
IN,2014,329360.9
IN,2015,333163.8
IN,2016,342716.6
IN,2017,357535.8
IN,2018,377376.9
IN,2019,384838.7
IN,2020,378293.0
IN,2021,425270.9
IN,2022,467679.6
IN,2023,496849.5
IN,2024,519516.5
IA,1997,82808.8
IA,1998,84629.7
IA,1999,87774.3
IA,2000,93125.6
IA,2001,94922.6
IA,2002,98669.4
IA,2003,105329.7
IA,2004,117149.8
IA,2005,122866.1
IA,2006,127670.8
IA,2007,137590.2
IA,2008,137749.2
IA,2009,137094.3
IA,2010,142497.7
IA,2011,149026.1
IA,2012,158553.1
IA,2013,162415.0
IA,2014,173734.2
IA,2015,181471.7
IA,2016,183834.8
IA,2017,187125.0
IA,2018,193155.1
IA,2019,196262.5
